scenario,method,rho,sigma_2,rep,euclidean_dist,max_abs_coef_diff,cosine_similarity,prediction_mse,prediction_mae,prediction_corr
cart_N1000_p10_rho0.0_sigma1.5_rep78,cart,0.0,1.5,78,1.3713325301711303,0.7104325225165353,0.9365081623575777,1.8439048030922127,1.0810841062597185,0.9389763466261134
cart_N1000_p10_rho0.0_sigma1.5_rep79,cart,0.0,1.5,79,1.346785141317535,0.6271171921214014,0.951607706068627,1.7644597431090034,1.0591771324039294,0.9601074690480467
cart_N1000_p10_rho0.0_sigma1.5_rep8,cart,0.0,1.5,8,1.5324104899833177,0.7818858175736784,0.913416838161368,2.3210294260009436,1.2142552805459872,0.902721307569659
cart_N1000_p10_rho0.0_sigma1.5_rep80,cart,0.0,1.5,80,1.4998597196291794,0.7342752470886309,0.9541963565550324,2.211329968656905,1.1828548866946498,0.960800607900606
cart_N1000_p10_rho0.0_sigma1.5_rep81,cart,0.0,1.5,81,1.5193871034435442,0.807934091408764,0.9172727990086496,2.2899947795954962,1.2025706058831744,0.9109337596005023
cart_N1000_p10_rho0.0_sigma1.5_rep82,cart,0.0,1.5,82,1.4306710307396953,0.5727221189822069,0.9564161206248585,2.0076851073924207,1.1271498099071584,0.964527743726692
cart_N1000_p10_rho0.0_sigma1.5_rep83,cart,0.0,1.5,83,1.6137484175199668,0.679619305891332,0.9579365623595023,2.581306142427283,1.2767752345863719,0.9530893508833663
cart_N1000_p10_rho0.0_sigma1.5_rep84,cart,0.0,1.5,84,1.344944632276335,0.7432815551693553,0.9470376184579172,1.7961748442160999,1.0666116596711746,0.9467375465657686
cart_N1000_p10_rho0.0_sigma1.5_rep85,cart,0.0,1.5,85,1.4138898742177204,0.6913483241480359,0.9587534694749242,1.960468834670991,1.1156191610123152,0.9645438247936555
cart_N1000_p10_rho0.0_sigma1.5_rep86,cart,0.0,1.5,86,1.5706857149188878,0.7609482594828862,0.9443885597575797,2.392809789867057,1.230268199807614,0.9407463178825832
cart_N1000_p10_rho0.0_sigma1.5_rep87,cart,0.0,1.5,87,1.6836093795198266,0.8035205823986994,0.8791334139393235,2.7945106617058,1.3348825257650951,0.8908019643850976
